"","Tree_ID","site_ID","date_collected","UTM_zone","Easting","Northing","elevation_m","side_of_island","flow_age","site_elevation_m","approx_annual_rainfall_mm","approx_mean_annual_temp_deg_C","flow_type"
"1","w100y1","w100y","2009-11-18","NAD83 Zone 5",280572,2179971,92,"Wet","Young",100,3900,22.2,"pahoehoe"
"2","w100y2","w100y","2009-11-18","NAD83 Zone 5",280574,2179975,92,"Wet","Young",100,3900,22.2,"pahoehoe"
"3","w100y3","w100y","2009-11-18","NAD83 Zone 5",280588,2179975,91,"Wet","Young",100,3900,22.2,"pahoehoe"
"4","w100y4","w100y","2009-11-18","NAD83 Zone 5",280594,2179981,91,"Wet","Young",100,3900,22.2,"pahoehoe"
"5","w100y5","w100y","2009-11-18","NAD83 Zone 5",280608,2179985,91,"Wet","Young",100,3900,22.2,"pahoehoe"
"6","w100y6","w100y","2009-11-18","NAD83 Zone 5",280609,2179997,90,"Wet","Young",100,3900,22.2,"pahoehoe"
"7","w100y7","w100y","2009-11-18","NAD83 Zone 5",280621,2179993,90,"Wet","Young",100,3900,22.2,"pahoehoe"
"8","w100y8","w100y","2009-11-18","NAD83 Zone 5",280629,2179999,89,"Wet","Young",100,3900,22.2,"pahoehoe"
"9","w100y9","w100y","2009-11-18","NAD83 Zone 5",280640,2180000,89,"Wet","Young",100,3900,22.2,"pahoehoe"
"10","w100y10","w100y","2009-11-18","NAD83 Zone 5",280654,2180008,88,"Wet","Young",100,3900,22.2,"pahoehoe"
"11","w100o1","w100o","2009-11-16","NAD83 Zone 5",280545,2179780,98,"Wet","Old",100,3900,22.2,"pahoehoe"
"12","w100o2","w100o","2009-11-16","NAD83 Zone 5",280553,2179763,98,"Wet","Old",100,3900,22.2,"pahoehoe"
"13","w100o3","w100o","2009-11-16","NAD83 Zone 5",280572,2179780,97,"Wet","Old",100,3900,22.2,"pahoehoe"
"14","w100o4","w100o","2009-11-16","NAD83 Zone 5",280578,2179776,97,"Wet","Old",100,3900,22.2,"pahoehoe"
"15","w100o5","w100o","2009-11-16","NAD83 Zone 5",280583,2179770,98,"Wet","Old",100,3900,22.2,"pahoehoe"
"16","w100o6","w100o","2009-11-16","NAD83 Zone 5",280588,2179762,98,"Wet","Old",100,3900,22.2,"pahoehoe"
